title,description,brand,tags,combined_features,combined_tags
aqua allegoria perfume bottle,Best sales of Fragrance category!,Aqua allegoria,"['sweet', 'unique', 'wild']","aqua allegoria perfume bottle Best sales of Fragrance category! Aqua allegoria ['sweet', 'unique', 'wild']",sweet unique wild
chanel garrielle bottle covered with beaded necklace,Best sales of Fragrance category!,Chanel Garrielle,"['natural', 'wild', 'sweet']","chanel garrielle bottle covered with beaded necklace Best sales of Fragrance category! Chanel Garrielle ['natural', 'wild', 'sweet']",natural wild sweet
clear fragrance bottle,Best sales of Fragrance category!,Eau de Cologne,"['powerful', 'soft', 'sweet']","clear fragrance bottle Best sales of Fragrance category! Eau de Cologne ['powerful', 'soft', 'sweet']",powerful soft sweet
jeanne lanvin my sin perfume bottle,Best sales of Fragrance category!,Jeanne Lanvin,"['powerful', 'exotic', 'gentle']","jeanne lanvin my sin perfume bottle Best sales of Fragrance category! Jeanne Lanvin ['powerful', 'exotic', 'gentle']",powerful exotic gentle
perfume bottle on a book,Best sales of Fragrance category!,Mademoiselle Ricci,"['natural', 'wild', 'soft']","perfume bottle on a book Best sales of Fragrance category! Mademoiselle Ricci ['natural', 'wild', 'soft']",natural wild soft
photo of perfume,Best sales of Fragrance category!,Gucci Bloom,"['natural', 'sweet', 'wild']","photo of perfume Best sales of Fragrance category! Gucci Bloom ['natural', 'sweet', 'wild']",natural sweet wild
purple petaled flowers on a glass jar,Best sales of Fragrance category!,N.A,"['sweet', 'unique', 'powerful']","purple petaled flowers on a glass jar Best sales of Fragrance category! N.A ['sweet', 'unique', 'powerful']",sweet unique powerful
white labeled perfume bottle,Best sales of Fragrance category!,Givenchy,"['soft', 'sweet', 'powerful']","white labeled perfume bottle Best sales of Fragrance category! Givenchy ['soft', 'sweet', 'powerful']",soft sweet powerful
acoustic guitar adult boy cool,Best sales of Men category!,Lacoste,"['glamorus', 'stunning', 'charming']","acoustic guitar adult boy cool Best sales of Men category! Lacoste ['glamorus', 'stunning', 'charming']",glamorus stunning charming
black and white photo of man smoking,Best sales of Men category!,Levis,"['gorgeous', 'glamorus', 'pretty']","black and white photo of man smoking Best sales of Men category! Levis ['gorgeous', 'glamorus', 'pretty']",gorgeous glamorus pretty
close up photography of a man,Best sales of Men category!,Adidas,"['elegant', 'charming', 'pretty']","close up photography of a man Best sales of Men category! Adidas ['elegant', 'charming', 'pretty']",elegant charming pretty
grayscale photo of two men standing near hut,Best sales of Men category!,Puma,"['glamorus', 'attractive', 'dashing']","grayscale photo of two men standing near hut Best sales of Men category! Puma ['glamorus', 'attractive', 'dashing']",glamorus attractive dashing
laughing man wearing gray v neck t shirt,Best sales of Men category!,Puma,"['lovable', 'charming', 'attractive']","laughing man wearing gray v neck t shirt Best sales of Men category! Puma ['lovable', 'charming', 'attractive']",lovable charming attractive
man about to touch his face wearing blue suit,Best sales of Men category!,Puma,"['good-looking', 'pretty', 'charming']","man about to touch his face wearing blue suit Best sales of Men category! Puma ['good-looking', 'pretty', 'charming']",good-looking pretty charming
man holding bamboo plant wearing sunglasses and fedora hat,Best sales of Men category!,Versace,"['charming', 'stunning', 'lovable']","man holding bamboo plant wearing sunglasses and fedora hat Best sales of Men category! Versace ['charming', 'stunning', 'lovable']",charming stunning lovable
man in black adidas full zip jacket,Best sales of Men category!,Aeropostale,"['hot', 'lovable', 'sparky']","man in black adidas full zip jacket Best sales of Men category! Aeropostale ['hot', 'lovable', 'sparky']",hot lovable sparky
man in black jacket,Best sales of Men category!,Calvin Klein,"['engaging', 'stunning', 'sexy']","man in black jacket Best sales of Men category! Calvin Klein ['engaging', 'stunning', 'sexy']",engaging stunning sexy
man in blue dress shirt and black formal suit,Best sales of Men category!,Levis,"['personable', 'good-looking', 'pretty']","man in blue dress shirt and black formal suit Best sales of Men category! Levis ['personable', 'good-looking', 'pretty']",personable good-looking pretty
man in blue v neck t shirt,Best sales of Men category!,Polo Ralph Lauren,"['gorgeous', 'sexy', 'charming']","man in blue v neck t shirt Best sales of Men category! Polo Ralph Lauren ['gorgeous', 'sexy', 'charming']",gorgeous sexy charming
man in denim jacket yellow cap and sunglasses smiling,Best sales of Men category!,Louis Vuitton,"['foxy', 'stunning', 'charming']","man in denim jacket yellow cap and sunglasses smiling Best sales of Men category! Louis Vuitton ['foxy', 'stunning', 'charming']",foxy stunning charming
man in red jacket,Best sales of Men category!,Calvin Klein,"['lovable', 'personable', 'attractive']","man in red jacket Best sales of Men category! Calvin Klein ['lovable', 'personable', 'attractive']",lovable personable attractive
man in white v neck t shirt and black pants,Best sales of Men category!,Lacoste,"['personable', 'dashing', 'gorgeous']","man in white v neck t shirt and black pants Best sales of Men category! Lacoste ['personable', 'dashing', 'gorgeous']",personable dashing gorgeous
man lying on brown dried grass,Best sales of Men category!,Calvin Klein,"['attractive', 'dashing', 'lovable']","man lying on brown dried grass Best sales of Men category! Calvin Klein ['attractive', 'dashing', 'lovable']",attractive dashing lovable
man lying on plants,Best sales of Men category!,Aeropostale,"['beautiful', 'sexy', 'attractive']","man lying on plants Best sales of Men category! Aeropostale ['beautiful', 'sexy', 'attractive']",beautiful sexy attractive
man reading burning newspaper,Best sales of Men category!,Levis,"['elegant', 'engaging', 'stunning']","man reading burning newspaper Best sales of Men category! Levis ['elegant', 'engaging', 'stunning']",elegant engaging stunning
man sitting on floor,Best sales of Men category!,Calvin Klein,"['lovable', 'engaging', 'charming']","man sitting on floor Best sales of Men category! Calvin Klein ['lovable', 'engaging', 'charming']",lovable engaging charming
man sitting on white car hood,Best sales of Men category!,Lacoste,"['charming', 'pretty', 'dashing']","man sitting on white car hood Best sales of Men category! Lacoste ['charming', 'pretty', 'dashing']",charming pretty dashing
man squatting while holding sunglasses,Best sales of Men category!,Puma,"['gorgeous', 'good-looking', 'hot']","man squatting while holding sunglasses Best sales of Men category! Puma ['gorgeous', 'good-looking', 'hot']",gorgeous good-looking hot
man standing beside green leafed plants,Best sales of Men category!,Calvin Klein,"['sparky', 'hot', 'lovable']","man standing beside green leafed plants Best sales of Men category! Calvin Klein ['sparky', 'hot', 'lovable']",sparky hot lovable
man standing under a flowering tree,Best sales of Men category!,Levis,"['gorgeous', 'stunning', 'charming']","man standing under a flowering tree Best sales of Men category! Levis ['gorgeous', 'stunning', 'charming']",gorgeous stunning charming
man wearing black and white paisley dress shirt,Best sales of Men category!,Puma,"['sexy', 'attractive', 'elegant']","man wearing black and white paisley dress shirt Best sales of Men category! Puma ['sexy', 'attractive', 'elegant']",sexy attractive elegant
man wearing black suit,Best sales of Men category!,Polo Ralph Lauren,"['foxy', 'beautiful', 'sparky']","man wearing black suit Best sales of Men category! Polo Ralph Lauren ['foxy', 'beautiful', 'sparky']",foxy beautiful sparky
man wearing blue dress shirt and black jeans,Best sales of Men category!,Polo Ralph Lauren,"['pretty', 'sparky', 'glamorus']","man wearing blue dress shirt and black jeans Best sales of Men category! Polo Ralph Lauren ['pretty', 'sparky', 'glamorus']",pretty sparky glamorus
man wearing blue lacoste polo shirt and silver colored,Best sales of Men category!,Louis Vuitton,"['personable', 'charming', 'foxy']","man wearing blue lacoste polo shirt and silver colored Best sales of Men category! Louis Vuitton ['personable', 'charming', 'foxy']",personable charming foxy
man wearing gray and white full zip jacket,Best sales of Men category!,Versace,"['beautiful', 'charming', 'attractive']","man wearing gray and white full zip jacket Best sales of Men category! Versace ['beautiful', 'charming', 'attractive']",beautiful charming attractive
man wearing multicolored costume,Best sales of Men category!,Lacoste,"['sparky', 'sexy', 'personable']","man wearing multicolored costume Best sales of Men category! Lacoste ['sparky', 'sexy', 'personable']",sparky sexy personable
man wearing red button up dress shirt,Best sales of Men category!,Abercrombie & Fitch,"['glamorus', 'good-looking', 'charming']","man wearing red button up dress shirt Best sales of Men category! Abercrombie & Fitch ['glamorus', 'good-looking', 'charming']",glamorus good-looking charming
