id,title,description,price,image_file,type
1,Tie Front Frill Rib Knit Crop Top,Dress for women,11,image-1.jpg,Women
2,Tie Dye One Shoulder Crop Top,Dress for women,12,image-2.jpg,Women
3,Rainbow Striped Crop Tube Top,Dress for women,13,image-3.jpg,Women
4,Contrast Binding Knot Hem Striped Tee Drawstring Dolphin Shorts,Dress for women,14,image-4.jpg,Women
5,SHEIN V neck Lace Insert Top,Dress for women,15,image-5.jpg,Women
6,Rainbow Letter Graphic T shirt,Dress for women,16,image-6.jpg,Women
7,Sunflower Print Short Sleeve Tee,Dress for women,17,image-7.jpg,Women
8,Letter Sunflower Print Tee,Dress for women,18,image-8.jpg,Women
9,Sloth And Panda Print Tee,Dress for women,19,image-9.jpg,Women
10,Tiger Print Tie Dye Tee,Dress for women,110,image-10.jpg,Women
11,Letter Graphic Short Sleeve Tee,Dress for women,111,image-11.jpg,Women
12,Leopard Print Round Neck Tee,Dress for women,112,image-12.jpg,Women
13,Sunflower Slogan Graphic Tee,Dress for women,113,image-13.jpg,Women
14,Floral Slogan Graphic Tee,Dress for women,114,image-14.jpg,Women
15,Graphic Print Short Sleeve Tee,Dress for women,115,image-15.jpg,Women
